name,latitude,longitude
Woodstock,41.4775,-74.3636
Glastonbury Festival,51.155,-2.586
Cornerstone Festival,40.5314,-90.4367
Greenbelt Festival,51.9203,-2.05778
Movement Electronic Music Festival,42.3286,-83.0433
Roskilde Festival,55.6217,12.0767
Pinkpop Festival,50.8806,6.02306
Altamont Speedway Free Festival,37.738,-121.563
Monterey International Pop Music Festival,36.5944,-121.863
Montreux Jazz Festival,46.4389,6.90444
Coachella Valley Music and Arts Festival,33.678,-116.234
The Big Chill,52.036,-2.42271
Wacken Open Air,54.0283,9.35611
Newport Jazz Festival,41.4772,-71.3394
Reading and Leeds Festivals,51.4672,-1.01194
GuilFest,51.245,-0.566389
Rock Werchter,50.9681,4.68417
Download Festival,52.8298,-1.37956
Festival Internacional de Benicàssim (FIB),40.0472,0.0694444
Meredith Music Festival,-37.8467,143.932
Nature One,50.0433,7.4225
Byron Bay Bluesfest,-28.5869,153.547
The Pyramid Rock Festival,-38.5231,145.219
Aquarius Festival,-28.6458,153.223
The Tamworth Country Music Festival,-31.0833,150.917
240pxCity Stages logo,33.5206,-86.8097
Sziget Festival,47.5539,19.055
Woodford Folk Festival,-26.915,152.755
Edmonton Folk Music Festival,53.534,-113.472
Southside Festival,47.9769,8.90417
Hurricane Festival,53.1594,9.5225
Slane,53.7092,-6.55986
Summer Sundae,52.6244,-1.12274
Hultsfredsfestivalen,57.4943,15.8588
Pukkelpop,50.9606,5.3558
Tuska Open Air Metal Festival,60.1744,24.9441
Graspop Metal Meeting,51.23,5.08399
Przystanek Woodstock,52.6114,14.6681
Monterey Jazz Festival,36.5944,-121.863
Musikfest,40.6148,-75.3719
{Rock am Ring|Rock im Park},50.3361,6.94667
Stone City Art Colony,42.11,-91.35
Kerrville Folk Festival,29.9581,-99.2169
Sunbury Pop Festival,-37.618,144.743
Secret Garden Party,52.3793,-0.1687
Midtfyns Festival,55.2311,10.4881
Sasquatch! Music Festival,47.1014,-119.996
Come Together Music Festival,-33.8482,151.21
Bang Your Head!!!,48.2547,8.845
Féile an Phobail,54.5919,-5.9623
Oppikoppi,-24.8839,27.1361
Open'er Festival,54.5794,18.5298
Arvikafestivalen,59.6497,12.62
Trowbridge Village Pump Festival (Village Pump Folk Festival),51.3178,-2.27295
Country Stampede Music Festival,39.2572,-96.5836
Sauna Open Air,61.49,23.7542
Big Spring Jam,34.7267,-86.5881
Guča trumpet festival,43.7764,20.2319
{Festival Internacional do Mundo Celta de Ortigueira|Ortigueira's Festival of Celtic World},43.6831,-7.85
Hellfest,47.0878,1.2825
Party.San Open Air,51.2672,10.6353
With Full Force,51.5771,12.4948
Up from the Ground,50.0575,9.67889
Kaltenbach Open Air,47.608,15.761
Jalometalli Metal Music Festival,64.9997,25.4653
Norway Rock Festival,58.308,6.95909
FolkWorld Fairbridge Festival,-32.5997,115.946
Bukta Tromsø Open Air Festival,69.6314,18.9097
Miami Pop Festival,25.9785,-80.138
Live at the Marquee,51.8993,-8.44065
Ankkarock,60.3558,25.0733
The Basin Music Festival,-37.86,145.314
Concert for Diana,51.556,-0.27963
Splash! Festival,50.8369,12.8142
Summerjam Festival,51.0228,6.92694
Fantasy Fair and Magic Mountain Music Festival,37.9126,-122.608
Indiependence,52.2766,-8.2644
Harvest Time Blues,54.2479,-6.9708
The Berkeley Jazz Festival,37.8736,-122.254
Aalborg Metal Festival,57.0484,9.91964
The Solway Festival,54.8128,-3.37278
Golden Plains Festival,-37.8467,143.932
Evolve Festival,45.551,-61.788
Cotati Jazz Festival,38.3267,-122.707
Festival Imperial,9.97333,-84.2494
Fuse Festival,-34.9234,138.596
Ilosaarirock Festival,62.5964,29.7364
Appel Farm Arts and Music Festival,39.5801,-75.1997
Koktebel Jazz Festival,44.9669,35.2331
Magic Circle Festival,51.3566,9.00603
Zappanale,54.1228,11.8678
Larmer Tree Festival,50.9519,-2.08329
Silkeborg Reggae Festival,56.1149,9.42267
Wood,51.5546,-1.08307
Mawazine,34.0253,-6.83611
Homegrown Music Festival,-41.2873,174.779
Heineken Balaton Sound Festival,46.884,17.9254
Summer Sundae Fringe Festival,52.6249,-1.12163
Fairbanks Summer Arts Festival,64.8572,-147.82
Deer Valley Music Festival,40.6228,-111.489
Little Hearts Festival,-33.9049,18.4201
Cavendish Beach Music Festival,46.4835,-63.3902
Red Sky Music Festival,41.2669,-95.9319
Norman Music Festival,35.2211,-97.4431
Dark Season Blues,78.22,15.65
Seaside Music Festival,39.9433,-74.071
Sonorama Ribera Festival,41.6679,-3.7004
Moogfest,40.7594,-73.9834
Fusion Festival,53.3078,12.7356
Oslo International Church Music Festival,59.9094,10.7415
Nelsonville Music Festival,39.4589,-82.2344
Groovefest American Music Festival,37.6817,-113.061
Korean Music Festival,34.1128,-118.339
