name,latitude,longitude
Yangtze Three Gorges Project,30.8231
Bhote Koshi Project,27.9128
Solar Energy Generating Systems,34.8625
Don Pedro Dam,37.7125,-120.402
Libby Dam,48.4117,-115.309
Burrinjuck Dam,-35.0,148.583
New Waddell Dam,33.78
Hirakud Dam,21.3528
San Roque Dam,16.1457,120.684
Tumut Hydroelectric Power Station,-35.8814,148.367
Isabella Dam,35.6461,-118.482
Sir Adam Beck Hydroelectric Generating Stations,43.1444
Robert Moses Niagara Hydroelectric Power Station,43.1425
Asan Barrage,30.4286
Monticello Dam,38.5133,-122.104
El Chocón Dam,-39.2658,-68.7564
John Butters Power Station,-42.1558,145.535
Blenheim-Gilboa Hydroelectric Power Station,42.45
Hàm Thuận
Marshall Steam Station,35.5975,-80.9647
Sarıyar Dam,40.0333,31.4167
Sır Dam,37.5008,36.5959
Ah Pah Dam,41.422,-123.936
Tarapur Atomic Power Station,19.816
Kariba Dam,-16.5217,28.7614
Dartmouth Dam,-36.5581,147.524
Itaipu Dam,-25.4081,-54.5889
Battersea power station,51.4811,-0.144444
Aswan High Dam,23.9706,32.8778
Benmore Dam,-44.5641,170.197
Sellafield,54.4205,-3.4975
Torness Nuclear Power Station,55.968,-2.40908
Pickering Nuclear Generating Station,43.8117,-79.0658
Drax power station,53.7358,-0.996389
W. A. C. Bennett Dam,56.0167,-122.201
Glen Canyon Dam,36.9375,-111.484
Grand Coulee Dam,47.9558,-118.982
Bankside Power Station,51.5071,-0.0985
Superphénix,45.7583,5.47222
O'Shaughnessy Dam,37.9475,-119.788
José Cabrera Nuclear Power Station,40.3492,-2.88444
Dinorwig Power Station,53.1186,-4.11389
Ardnacrusha,52.7056,-8.61278
Clyde Dam,-45.1793,169.307
Akosombo Dam,6.29972,0.0594444
Garrison Dam,47.4986,-101.412
Phénix,44.1433,4.71167
La Grande-3 Generating Station,53.7297,-75.9683
Vermont Yankee Nuclear Power Plant,42.7789,-72.5131
Tarong North Power Station,-26.7761,151.914
Spencer Street Power Station,-37.8148,144.953
Kårstø Power Station,59.2756,5.51111
Tjeldbergodden Reserve Power Station,63.4097,8.6578
Sisimiut hydroelectric power plant,67.1137,-53.3489
Frank M. Wilkes Power Plant,32.8481,-94.5478
Gordon Dam,-42.8475
Palas Power Station,44.8583,24.8667
Borzeşti Power Station,46.2583,26.7694
Piteşti Sud Power Station,44.8583,24.8667
Agigawa Dam,35.4247,137.43
Aimata Dam,36.7122,138.893
Firestone Hydroelectric Project,6.2975,-10.3022
Kisigmánd Wind Farm,47.6747,18.0711
Ikervár Wind Farm,47.2008,16.8689
Gellénháza Power Plant,46.7528,16.7969
Mingechevir Hydro Power Plant,40.79,47.0283
Tri An Hydro Power Plant,11.104,106.983
Kakanj Power Plant,44.0897,18.1144
Moinak Hydro Power Plant,43.0622,78.7847
Pļaviņas Hydro Power Plant,56.5833,25.2417
Pardee Dam,38.2574,-120.85
Okutataragi Pumped Storage Power Station,35.2367
Blaydon Burn Power Station,54.962,-1.729
Chulabhorn Dam,16.5363,101.65
Bakreshwar,87.45
Spring Creek Dam,40.6298,-122.474
Croydon Power Station,51.3764
Tipaimukh Dam,24.2347
Victoria Dam,7.2
Kossou Power Station,6.96667,-5.46667
Jebba Power Station,9.13556,4.78778
Gansu Wind Farm,40.2,96.9
Darling Downs Power Station,-27.111,150.905
Aslantaş Dam,37.272,36.2724
Iaşi I Power Station,47.1583,27.5917
Buzău Power Station,45.1625,26.8194
Akköprü Dam,36.8981,28.9022
Berdan Dam,36.966,34.8953
Çamlıgöze Dam,40.2291,38.0767
Çine Dam,37.4947,28.1297
Demirköprü Dam,38.6162,28.3109
Gezende Dam,36.534,33.1906
Gönen Dam,39.9695,27.444
Hasanlar Dam,40.911,31.2754
Hirfanlı Dam,39.2723,33.5188
Karacaören-1 Dam,37.3699,30.8292
Karacaören-2 Dam,37.3067,30.8088
Kemer Dam,37.5718,28.5246
Kesikköprü Dam,39.3953,33.421
Kılavuzlu Dam,37.6268,36.8045
Kızılcapınar Dam,41.2402,31.6159
Menzelet Dam,37.6761,36.8508
Tortum Dam,40.6567,41.6588
Tercan Dam,39.7516,40.4001
Sly Park Dam,38.7152,-120.563
Cerro Prieto Geothermal Power Station,32.4119,-115.245
Meadow Lake Wind Farm,40.6011
Genesee Generating Station,53.343,-114.303
Dry Lake Wind Power Project,34.6,-110.23
H. R. Milner Generating Station,54.0073,-119.103
Rangit Dam,27.275
Dan River Steam Station,36.487,-79.718
Buck Steam Station,35.712,-80.377
