name,latitude,longitude
Mount Baker,48.7773,-121.813
Vulcano,38.4042,14.9658
Baekdu Mountain,42.0056,128.055
Alban Hills,41.73,12.7
Tungurahua,-1.46694,-78.4417
Mt. Stromboli,38.789,15.213
Galunggung,-7.25673,108.077
Cotopaxi,-0.680556,-78.4378
Mount Jefferson,44.6743,-121.8
Mount Katmai,58.2786,-154.957
Sibayak,3.2,98.5167
Farallón de Pájaros,20.545,144.894
Savo Island,-9.13333,159.817
The Illinizas,-0.659444,-78.7136
Öræfajökull,64.0,-16.65
Tavurvur (Rabaul caldera),-4.239,152.21
Sierra Nevada,-38.5833,-71.5833
Rangitahua (Māori),-29.27,-177.92
Mount Spurr,61.2997,-152.251
Cumbre Vieja,28.5667,-17.8333
Mount Arayat,15.2,120.742
Mount Asama,36.4,138.517
Bezymianny,55.9783,160.587
Mount Redoubt,60.4853
Soufrière Hills,16.7167,-62.1833
Poás Volcano,10.2,-84.2
Goat Rocks,46.4886,-121.406
Ulleung-Do,37.5,130.867
Marmolejo,-33.7178,-69.8635
Hudson Mountains,-74.3333,-99.4167
Patilla Pata,-18.05,-69.0333
Macizo de Pacuni,-18.3167,-68.8
Olca,-20.9333,-68.4833
Paruma,-20.0,-68.0
Michincha,-20.0,-68.0
Pomerape,-18.1258,-69.1275
Nevados de Payachata border20px,-18.1633,-69.1425
Kimsa Chata,-18.3833,-69.05
Licancabur (volcano),-22.8336,-67.8828
Mount Morning,-78.5167
Mount Overlord,-73.1667,164.6
Mount Guntur,-7.143,107.84
Ijen,-8.058,114.242
Kaba,-3.52,102.62
The Pleiades,-72.67,165.5
Mount Douglas,58.86,-153.533
Mount Kaguyak,58.608,-154.028
Mount Mageik,58.195,-155.253
Mount Martin.,58.172,-155.361
Ukinrek Maars,57.8317,-156.51
Ugashik-Peulik,57.751,-156.368
Mount Chiginagak,57.1336,-156.991
Yantarni,57.0181,-157.183
Mount Veniaminof,56.1981,-159.391
Pavlof Sister,55.4575,-161.854
Mount Dutton,55.168,-162.272
Mount Westdahl,54.518,-164.65
Mount Akutan,54.1331,-165.986
Kelud,-7.93,112.308
Mount Recheshnoi,53.157,-168.539
Mount Seguam,52.315,-172.51
Mount Kanaga,51.9233,-177.168
Cold Bay Volcano,55.0673,-162.835
Mount Amukta,52.5,-171.25
Miyake-jima,34.079,139.529
Mount Iliamna,60.0333,-153.067
Cerro Escorial,-25.08,-68.37
Cerro Tuzgle,-24.05,-66.48
Cochiquito Volcanic Group,-36.7667,-69.8167
Huanquihue Group,-39.8833,-71.5833
Maipo,-34.161,-69.833
Pali-Aike Volcanic Field,-52.0,-70.0
Peinado,-26.62,-68.15
Risco Plateado,-34.93,-70.0
Tromen,-37.142,-70.03
Água de Pau,37.7622,-25.4736
Nightingale Island,-37.4194,-12.4778
Mount Edgecumbe,57.0514,-135.759
Mount Belinda,-58.4333,-26.3333
Penguin Island,-62.1,-57.93
Tronador,-41.1569,-71.8847
Sangay,-2.0025,-78.3408
Pagan Island,18.1333,145.8
Cerro Hudson,-45.9,-72.9667
Karangetang,2.77778,125.408
Mount Longonot,-0.915278,36.4569
Segula Island,52.0225,178.133
Mount Lamington,-8.95,148.15
Anatahan,16.35,145.67
Mount Taylor,35.2387,-107.609
Mount Usu,42.541,140.843
Barren Island,12.2778,93.8583
Green Mountain Ascension Island,-7.95,-14.35
Villarrica Volcano,-39.42,-71.93
Krasheninnikov,54.5933,160.273
San Salvador Volcano (Quetzaltepec),13.734,-89.294
Narcondam Island,13.43,94.28
Garbuna Group,-5.45,150.033
Pulosari,-6.342,105.975
Kuchinoerabu Island,30.44,130.219
Broken Top,44.0829,-121.7
Mount Kusatsu-Shirane,36.62,138.535
Wallatiri,-18.4167,-69.0917
Mount Nekomadake (Mt. Nekomagadake),37.6116,140.028
El Tigre Island,13.272,-87.641
Sarychev Peak,48.092,153.2
Black Tusk,49.9753,-123.043
Tandikat,-0.432583,100.317
Singgalang,-0.39,100.331
Mount Popa,20.9242,95.2506
Mount Tokachi,43.4167,142.683
